Question,Index,Wording Options,Count
Have you been diagnosed with depression?,12,depression_diagnosed (have you been diagnosed with depression),116
Have you been diagnosed with depression?,12,have you been diagnosed with depression,31
Have you been diagnosed with depression?,12,have you been diagnosed with depression ,21
What did you study at school?,13,study (what did you study at school),113
What did you study at school?,13,what'd you study at school,27
What did you study at school?,13,what'd you study at school ,25
Do you travel a lot? I'd love to hear about one of your trips,14,travel_shoes (i'm sure you can tell by my shoes i'm not much of a world explorer do you travel a lot),113
Do you travel a lot? I'd love to hear about one of your trips,14,do you travel a lot,44
Do you travel a lot? I'd love to hear about one of your trips,14,do you travel a lot ,10
Do you travel a lot? I'd love to hear about one of your trips,14,<laughter> do you travel a lot,1
What do you enjoy about traveling?,15,travel_changed (what do you enjoy about traveling),86
What do you enjoy about traveling?,15,what do you enjoy about traveling,20
What do you enjoy about traveling?,15,what do you enjoy about traveling ,13
What do you enjoy about traveling?,15,yeah what do you enjoy about traveling,1
Have you ever been diagnosed with PTSD?,16,ptsd_diagnosed (have you ever been diagnosed with p_t_s_d),112
Have you ever been diagnosed with PTSD?,16,have you ever been diagnosed with p_t_s_d,49
Have you ever been diagnosed with PTSD?,16,have you ever been diagnosed with p_t_s_d ,6
Tell me about a situation that you wish you had handled differently,17,situation_handled (tell me about a situation that you wish you had handled differently),112
Tell me about the hardest decision you've ever had to make. How did you decide on the choice you made? How do you feel about the choice now?,18,hard_decisionB (tell me about the hardest decision you've ever had to make),111
What are some things you like about LA?,19,like_about_LA (what are some things you really like about l_a),105
What are some things you like about LA?,19,what are some things you really like about l_a,49
What are some things you like about LA?,19,what are some things you really like about l_a ,5
What are some things you like about LA?,19,how do you like l_a,2
What are some things you don't really like about LA?,20,dont_like_LA (what are some things you don't really like about l_a),99
What are some things you don't really like about LA?,20,what are some things you don't really like about l_a,43
What are some things you don't really like about LA?,20,what are some things you don't really like about l_a ,4
What are some things you don't really like about LA?,20,mhm what are some things you don't really like about l_a,1
How would your best friend describe you?,21,BF_describe (how would your best friend describe you),105
How would your best friend describe you?,21,how would your best friend describe you ,30
How would your best friend describe you?,21,how would your best friend describe you,29
How would your best friend describe you?,21,how would you best friend describe you ,1
What are some things you wish you could change about yourself?,22,self_change (what are some things you wish you could change about yourself),103
Have you noticed any changes in your behavior or thoughts lately,23,behavior_changes (have you noticed any changes in your behavior or thoughts lately),81
Have you noticed any changes in your behavior or thoughts lately,23,have you noticed any changes in your behavior or thoughts lately,27
Have you noticed any changes in your behavior or thoughts lately,23,have you noticed any changes in your behavior or thoughts lately ,24
Is there anything you regret?,24,regret (is there anything you regret),100
Is there anything you regret?,24,is there anything you regret,42
Is there anything you regret?,24,is there anything you regret ,12
Is there anything you regret?,24,uh huh uh huh uh huh is there anything you regret is there anything you regret,1
Tell me about an event or something that you wish you could erase from your memory,25,memory_erase (tell me about an event or something that you wish you could erase from your memory),99
Tell me about your relationship with your family. How close are you to them?,26,family_relationship (tell me about your relationship with your family),96
Tell me about your relationship with your family. How close are you to them?,26,how close are you to your family,23
Tell me about your relationship with your family. How close are you to them?,26,how close are you to your family ,21
Tell me about your relationship with your family. How close are you to them?,26,family_roleB (how close are you to your family),17
What's your dream job?,27,dream_job (what's your dream job),93
What's your dream job?,27,what's your dream job,33
What's your dream job?,27,what's your dream job ,22
What's your dream job?,27,job_virtually (i love my job you could almost say it's virtually made for me what's your dream job),12
Who's someone that's been a positive influence in your life?,28,influence_positive (who's someone that's been a positive influence in your life),88
Who's someone that's been a positive influence in your life?,28,who's someone that's been a positive influence in your life,37
Who's someone that's been a positive influence in your life?,28,who's someone that's been a positive influence in your life ,29
Who's someone that's been a positive influence in your life?,28, who's someone that's been a positive influence in your life ,1
Who's someone that's been a positive influence in your life?,28,who's someone that's been a positive influence in  your life,1
What's one of your most memorable experiences,29,memorableB (what's one of your most memorable experiences),74
What's one of your most memorable experiences,29,what's one of your most memorable experiences,36
What's one of your most memorable experiences,29,what's one of your most memorable experiences ,21
What's something you feel guilty about?,30,feelguilty (what's something you feel guilty about),73
What's something you feel guilty about?,30,Ellie17Dec2012_10 (tell me about something you did recently that you really enjoyed),67
What's something you feel guilty about?,30,tell me about something you did recently that you really enjoyed ,20
What's something you feel guilty about?,30,tell me about something you did recently that you really enjoyed,9
When did you move to LA?,31,when_LA (when did you move to l_a),59
When did you move to LA?,31,when'd you move to l_a,15
When did you move to LA?,31,when did you move to l_a,1
How often do you go back to your hometown?,32,often_backB (how often do you go back to your hometown),57
How often do you go back to your hometown?,32,how often do you go back to your home town,8
How often do you go back to your hometown?,32,how often do you go back to your hometown,4
How often do you go back to your hometown?,32,how often do you go back to your hometown ,4
How often do you go back to your hometown?,32,how often to you go back to your home town ,1
How often do you go back to your hometown?,32,how often do you go back to your home town ,1
What would you say are some of your best qualities?,33,Ellie17Dec2012_07 (what would you say are some of your best qualities),56
What would you say are some of your best qualities?,33,what would you say are some of your best qualities ,24
What would you say are some of your best qualities?,33,what would you say are some of your best qualities,22
Tell me about a time when someone made you feel really badly about yourself,34,feelbadly (tell me about a time when someone made you feel really badly about yourself),54
Tell me how you spend your ideal weekend,35,ideal_weekendC (tell me how you spend your ideal weekend),49
Why did you move to LA?,36,why_LA (why did you move to l_a),48
Why did you move to LA?,36,why'd you move to l_a,30
Why did you move to LA?,36,why'd you move to l_a ,2
How easy was it for you to get used to living in LA?,37,adapted_LA (how easy was it for you to get used to living in l_a),47
How easy was it for you to get used to living in LA?,37,how easy was it for you to get used to living in l_a,21
How easy was it for you to get used to living in LA?,37,how easy was it for you to get used to living in l_a ,3
What got you to seek help?,38,why_seek_help (what got you to seek help),36
What got you to seek help?,38,what got you to seek help ,16
What got you to seek help?,38,what got you to seek help,16
Do you still go to therapy now?,39,therapy_going (do you still go to therapy now),36
Do you still go to therapy now?,39,do you still go to therapy now,18
Do you still go to therapy now?,39,do you still go to therapy now ,7
What are some things that make you really mad?,40,what are some things that make you really mad,36
What are some things that make you really mad?,40,what are some things that make you really mad ,17
What are some things that make you really mad?,40,mad_makeyou (what are some things that make you really mad),8
What are some things that make you really mad?,40,what are some things that make you really mad  ,1
Do you consider yourself an introvert?,41,do you consider yourself an introvert,33
Do you consider yourself an introvert?,41,do you consider yourself an introvert ,18
Do you consider yourself an introvert?,41,do you consider yourself an introvert  ,2
Do you consider yourself an introvert?,41,do you consider yourself and introvert,1
What do you do now?,42,what do you do now,31
What do you do now?,42,what do you do now ,6
What do you do to relax?,43,what do you do to relax,30
What do you do to relax?,43,what do you do to relax ,12
What do you do to relax?,43, what do you do to relax,1
What do you do to relax?,43,relax_fishtank (sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax),121
Have you ever served in the military?,44,have you ever served in the military ,27
Have you ever served in the military?,44,have you ever served in the military,25
Have you ever served in the military?,44,military (have you ever served in the military),2
How did you feel in that moment?,45,how did you feel in that moment,27
How did you feel in that moment?,45,how did you feel in that moment ,8
How did you feel in that moment?,45,describe_felt (how did you feel in that moment),81
Do you feel like therapy is useful?,46,therapy_useful (do you feel like therapy is useful),27
Do you feel like therapy is useful?,46,do you feel like therapy is useful,12
Do you feel like therapy is useful?,46,do you feel like therapy's useful ,8
Do you feel like therapy is useful?,46,do you feel like therapy's useful,7
Do you feel like therapy is useful?,46,therapist_useful (is going to a therapist helping you),4
Do you feel like therapy is useful?,46,is going to a therapist helping you,6
Do you feel like therapy is useful?,46,is going to a therapist helping you ,3
What do you do when you're annoyed?,47,what do you do when you're annoyed,26
What do you do when you're annoyed?,47,what do you do when you're annoyed ,19
What do you do when you're annoyed?,47,what_do_when_annoyed (what do you do when you are annoyed),5
Do you find it easy to be a parent?,48,easy_parent (do you find it easy to be a parent),25
Do you find it easy to be a parent?,48,do you find it easy to be a parent,11
Do you find it easy to be a parent?,48,do you find it easy to be a parent ,6
What are some ways that you're different as a parent than your parents?,49,parent_differences (what are some ways that you're different as a parent than your parents),23
What's the hardest thing about being a parent?,50,parent_hardest (what's the hardest thing about being a parent),22
What's the hardest thing about being a parent?,50,what's the hardest thing about being a parent,13
What's the hardest thing about being a parent?,50,what's the hardest thing about being a parent ,6
What's the best thing about being a parent?,51,parent_best (what's the best thing about being a parent),21
What's the best thing about being a parent?,51,what's the best thing about being a parent,10
What's the best thing about being a parent?,51,what's the best thing about being a parent ,6
What's the best thing about being a parent?,51,okay what's the best thing about being a parent,1
What are things that usually put you in a good mood?,52,what are some things that usually put you in a good mood,24
What are things that usually put you in a good mood?,52,Ellie17Dec2012_09 (what are some things that usually put you in a good mood),14
What are things that usually put you in a good mood?,52,what are some things that usually put you in a good mood ,9
What are things that usually put you in a good mood?,52,what are some things that usually put you in a good mood  ,1
What do you think about today's kids?,53,what do you think of today's kids,22
What do you think about today's kids?,53,what do you think of today's kids ,6
What do you think about today's kids?,53,todays_kids (what do you think of today's kids),5
What do you think about today's kids?,53,that's good what do you think of today's kids ,1
What are some things you like to do for fun?,54,what are some things you like to do for fun,18
What are some things you like to do for fun?,54,what are some things you like to do for fun ,8
What are some things you like to do for fun?,54,do_fun (what are some things you like to do for fun),4
Do you feel down?,55,do you feel down,14
Do you feel down?,55,feel_down (do you feel down),10
Do you feel down?,55,do you feel down ,3
How do you like your living situation?,56,how do you like your living situation,9
How do you like your living situation?,56,living_situation (how do you like your living situation),6
How do you like your living situation?,56,how do you like your living situation ,4
"Do you have roommates? If so, how do you know them, and what's it like for you to live with them?",57,do you have roommates,7
"Do you have roommates? If so, how do you know them, and what's it like for you to live with them?",57,do you have roommates ,2
"Do you have roommates? If so, how do you know them, and what's it like for you to live with them?",57,roommates (do you have roommates),2
Do you have disturbing thoughts?,58,disturbing_thoughts (do you have disturbing thoughts),6
Do you have disturbing thoughts?,58,do you have disturbing thoughts,5
Where do you live?,59,where do you live,4
Where do you live?,59,where_live (where do you live),2
Where do you live?,59,where do you live ,1
How does your hometown compare to LA?,60,compares_LA (how does it compare to l_a),52
How does your hometown compare to LA?,60,how does it compare to l_a,6
How do you cope with your symptoms?,61,symptoms_cope (how do you cope with them),43
How do you cope with your symptoms?,61,how do you cope with them ,12
How do you cope with your symptoms?,61,how do you cope with them,11
How long ago were you diagnosed?,62,when_diagnosed (how long ago were you diagnosed),37
How long ago were you diagnosed?,62,how long ago were you diagnosed,17
How long ago were you diagnosed?,62,how long ago were you diagnosed ,11
Has that gotten you in trouble?,63,landed_trouble (has that gotten you in trouble),33
Has that gotten you in trouble?,63,has that gotten you in trouble,8
Has that gotten you in trouble?,63,has that gotten you in trouble ,4
When was the last time your symptoms appeared?,64,bouts_symptoms (when was the last time that happened),28
When was the last time your symptoms appeared?,64,when was the last time that happened,23
When was the last time your symptoms appeared?,64,when was the last time that happened ,7
What sorts of changes have you noticed since you've been going to therapy?,65,therapy_changes (what sort of changes have you noticed since you've been going to therapy),21
What sorts of changes have you noticed since you've been going to therapy?,65,what sort of changes have you noticed since you've been going to therapy,10
What sorts of changes have you noticed since you've been going to therapy?,65,how has seeing a therapist affected you,5
What sorts of changes have you noticed since you've been going to therapy?,65,what sort of changes have you noticed since you've been going to therapy ,5
What sorts of changes have you noticed since you've been going to therapy?,65,how has seeing a therapist affected you ,4
What sorts of changes have you noticed since you've been going to therapy?,65,therapist_affect (how has seeing a therapist affected you),7
What sorts of changes have you noticed since you've been going to therapy?,65,how has seeing a therapist affected you  ,1
Could you have done anything to avoid it?,66,avoid (could you have done anything to avoid it),21
Could you have done anything to avoid it?,66,could you have done anything to avoid it,12
Could you have done anything to avoid it?,66,could you have done anything to avoid it ,5
Could you have done anything to avoid it?,66,okay could you have done anything to avoid it,1
Could you have done anything to avoid it?,66,could you have done anything to avoid it  ,1
Are you still doing that?,67,still_working_on_X (are you still working in that),53
Are you still doing that?,67,are you still working in that ,17
Are you still doing that?,67,are you still working in that,15
Are you still doing that?,67,still_doing_X (are you still doing that),13
Are you still doing that?,67,are you still doing that ,3
Are you still doing that?,67,are you still doing that,3
Are you still doing that?,67,nice are you still doing that,1
Tell me about your kids,68,kids_elaborate (tell me about your kids),18
Tell me about your kids,68,tell me about your kids,7
Tell me about your kids,68,tell me about your kids ,2
What were your symptoms,69,symptoms_what (what were your symptoms),12
What were your symptoms,69,what were your symptoms,10
What were your symptoms,69,what were your symptoms ,5
Are they triggered by something?,70,are they triggered by something,13
Are they triggered by something?,70,are they triggered by something ,10
Are they triggered by something?,70,trigger (are they triggered by something),27
Did you think you had a problem before you found out?,71,suspect_problem (did you think you had a problem before you found out),4
Did you think you had a problem before you found out?,71,did you think you had a problem before you found out,10
Did you think you had a problem before you found out?,71,did you think you had a problem before you found out ,9
Why did you stop going to therapy?,72,stop_going (why did you stop),15
Why did you stop going to therapy?,72,why did you stop,9
Why did you stop going to therapy?,72,why did you stop ,7
What made you decide to go and see a therapist?,73,what made you decide to go and see someone,1
How old were you when you joined the military?,74,old (how old were you when you joined the military),3
How old were you when you joined the military?,74,how old were you when you joined the military,2
How old were you when you joined the military?,74,how old were you when you joined the military ,1
Did you ever see combat?,75,combat (did you ever see combat),3
Did you ever see combat?,75,did you ever see combat,1
Did you ever see combat?,75,did you ever see combat ,1
How did serving in the military change you?,76,effectB (how did serving in the military change you),3
How did serving in the military change you?,76,how did serving in the military change you,3
How did serving in the military change you?,76,how did serving in the military change you ,1
What did you do after the military?,77,after (what did you do after the military),3
What did you do after the military?,77,what did you do after the military,3
What did you do after the military?,77,what did you do after the military ,1
How easy was it for you to go back to civilian life?,78,civilian_life (how easy was it for you to go back to civilian life),3
How easy was it for you to go back to civilian life?,78,how easy was it for you to go back to civilian life ,1
Why did you decide to enlist in the military?,79,why'd you decide to enlist in the military,2
Why did you decide to enlist in the military?,79,why_enlist (why'd you decide to enlist in the military),1
